district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
Kilgore Independent School District,56256,66219,65271,75153
Killeen Independent School District,50091,61471,53853,66414
Kingsville Independent School District,39767,51718,49375,61080
Kirbyville Consolidated Independent School District,38300,50938,58281,64188
Klein Independent School District,80612,102718,86521,110564
Klondike Independent School District,77500,105694,108309,128568
Knippa Independent School District,32768,50318,58050,64946
Knox City-O'Brien Consolidated Independent School District,44762,51199,49808,56972
Kopperl Independent School District,42870,50999,47500,60638
Kountze Independent School District,60553,89883,76134,96292
Kress Independent School District,46731,67056,60350,78317
Krum Independent School District,79953,90892,89853,100974
La Feria Independent School District,37029,50994,46101,57871
La Gloria Independent School District,58594,63562,59115,69225
La Grange Independent School District,56881,67340,70596,81982
La Joya Independent School District,29294,42449,30648,43693
La Marque Independent School District,38526,57986,46550,70532
La Porte Independent School District,74766,87293,83379,93784
La Pryor Independent School District,33029,53750,40069,66085
La Vega Independent School District,41712,50023,49256,55638
La Vernia Independent School District,88567,97326,94325,105990
La Villa Independent School District,29875,37548,31977,41499
Lackland Independent School District,60517,64142,61379,64721
Lago Vista Independent School District,75140,98118,84640,117463
Lake Dallas Independent School District,75309,85829,81837,91007
Lake Travis Independent School District,106436,143952,127700,165635
Lake Worth Independent School District,40629,58278,52399,61926
Lamar Consolidated Independent School District,80445,100815,91535,110475
Lamesa Independent School District,41659,61095,53105,66312
Lampasas Independent School District,51531,65057,62405,74454
Lancaster Independent School District,53150,62647,59957,68753
Laneville Independent School District,36103,60810,54306,81497
Lapoynor Independent School District,56929,77579,60857,85312
Laredo Independent School District,25052,35782,28400,38681
Lasara Independent School District,36094,46558,37000,43873
Latexo Independent School District,38333,51328,46319,59421
Lazbuddie Independent School District,47679,82190,51875,89321
Leakey Independent School District,37269,51032,55500,64127
Leander Independent School District,90899,114901,105548,131202
Leary Independent School District,51063,64772,61458,76303
Lefors Independent School District,41350,59881,49167,75146
Leggett Independent School District,43417,55977,46343,56146
Leon Independent School District,42031,77706,47023,71259
Leonard Independent School District,57227,67585,67688,75052
Levelland Independent School District,51154,63163,61559,74568
Leveretts Chapel Independent School District,58672,63695,76250,76441
Lewisville Independent School District,84068,110178,101082,125974
Lexington Independent School District,52078,76614,67230,91439
Liberty Hill Independent School District,87230,109566,101429,118761
Liberty Independent School District,51722,70111,58233,75718
Liberty-Eylau Independent School District,37301,49696,42989,57116
Lindale Independent School District,60380,71181,66196,76949
Linden-Kildare Consolidated Independent School District,38673,46149,46424,56159
Lindsay Independent School District,88317,101362,101458,117896
Lingleville Independent School District,35588,71163,44444,85239
Lipan Independent School District,65385,85773,74737,100631
Little Cypress-Mauriceville Consolidated Independent School District,63938,76704,71385,86369
Little Elm Independent School District,81857,96820,88106,103010
Littlefield Independent School District,41315,54164,50781,63042
Livingston Independent School District,40957,56528,51992,64651
Llano Independent School District,50159,78512,59595,91746
Lockhart Independent School District,51211,62932,56591,67756
Lockney Independent School District,46875,62359,49464,69458
Lohn Independent School District,68250,71015,80833,91147
Lometa Independent School District,37500,50552,48229,60694
London Independent School District,150781,178695,151563,185515
Lone Oak Independent School District,53444,69293,64125,78671
Longview Independent School District,41282,57705,51639,67951
Loop Independent School District,88523,82921,95066,88074
Loraine Independent School District,45417,93110,92941,124179
Lorena Independent School District,82121,87923,90403,92541
Lorenzo Independent School District,48500,66270,51136,67155
Los Fresnos Consolidated Independent School District,44385,58134,46987,60254
Louise Independent School District,51081,72008,66250,91484
Lovejoy Independent School District,120132,177063,128708,188484
Lovelady Independent School District,48375,57868,55208,66753
Lubbock Independent School District,40990,57437,51364,69506
Lubbock-Cooper Independent School District,81001,102834,85866,110500
Lueders-Avoca Independent School District,50682,62642,54141,73070
Lufkin Independent School District,44090,61183,50430,69849
Luling Independent School District,43619,58154,53349,67965
Lumberton Independent School District,65218,80522,81250,93575
Lyford Consolidated Independent School District,27102,41115,31324,44870
Lytle Independent School District,56586,67095,70028,73651
Mabank Independent School District,44291,60008,49888,66161
Madisonville Consolidated Independent School District,43295,58286,49699,64045
Magnolia Independent School District,78692,103853,85594,111210
Malakoff Independent School District,39163,58855,48643,67997
Malone Independent School District,49250,62888,52292,67285
Malta Independent School District,56167,65200,62143,72108
Manor Independent School District,59214,74567,67010,79614
Mansfield Independent School District,84874,101565,93324,109182
Marathon Independent School District,42625,64794,48906,57250
Marble Falls Independent School District,51776,71022,63643,81233
Marfa Independent School District,44420,56474,59028,65424
Marion Independent School District,62440,74346,70941,81823
Marlin Independent School District,33588,40680,41179,51483
Marshall Independent School District,40056,57836,53523,68814
Mart Independent School District,37336,49330,44630,57001
Martins Mill Independent School District,47106,60994,52639,65944
Martinsville Independent School District,53646,62003,59276,69422
Mason Independent School District,38587,57297,50833,69648
Matagorda Independent School District,34779,55457,62813,73770
Mathis Independent School District,40451,53966,41885,58544
Maud Independent School District,41221,55083,55060,63645
May Independent School District,52802,63712,57218,74636
Maypearl Independent School District,63527,81954,82736,97425
